날짜,시그니처,설명,클래스,위험도,프로토콜,출발 IP,출발 포트,도착 IP,도착 포트
2026-06-03 15:54:38.048666,2010937,ET SCAN Suspicious inbound to mySQL port 3306,Potentially Bad Traffic,2,TCP,45.156.87.127,51404,192.168.45.3,3306
2026-06-03 16:20:04.700615,2010935,ET SCAN Suspicious inbound to MSSQL port 1433,Potentially Bad Traffic,2,TCP,220.188.148.105,55050,192.168.45.3,1433
2026-06-03 16:20:05.050621,2010939,ET SCAN Suspicious inbound to PostgreSQL port 5432,Potentially Bad Traffic,2,TCP,52.21.227.35,51568,192.168.45.3,5432
2026-06-03 16:37:57.806793,2010935,ET SCAN Suspicious inbound to MSSQL port 1433,Potentially Bad Traffic,2,TCP,201.253.249.238,46711,192.168.45.3,1433
2026-06-03 16:40:23.699106,2210026,SURICATA STREAM ESTABLISHED SYN resend,Generic Protocol Command Decode,3,TCP,176.65.149.203,61460,192.168.45.3,25565
2026-06-03 17:25:21.940647,2010939,ET SCAN Suspicious inbound to PostgreSQL port 5432,Potentially Bad Traffic,2,TCP,46.151.182.191,55036,192.168.45.3,5432
2026-06-03 17:26:59.557096,2210033,SURICATA STREAM FIN1 invalid ack,Generic Protocol Command Decode,3,TCP,10.0.2.2,39692,192.168.45.2,8006
2026-06-03 17:26:59.557096,2210045,SURICATA STREAM Packet with invalid ack,Generic Protocol Command Decode,3,TCP,10.0.2.2,39692,192.168.45.2,8006
2026-06-03 17:26:59.559918,2210033,SURICATA STREAM FIN1 invalid ack,Generic Protocol Command Decode,3,TCP,192.168.45.2,8006,10.0.2.2,39692
2026-06-03 17:26:59.559918,2210045,SURICATA STREAM Packet with invalid ack,Generic Protocol Command Decode,3,TCP,192.168.45.2,8006,10.0.2.2,39692
2026-06-03 17:26:59.559921,2210033,SURICATA STREAM FIN1 invalid ack,Generic Protocol Command Decode,3,TCP,192.168.45.2,8006,10.0.2.2,39692
2026-06-03 17:26:59.559921,2210045,SURICATA STREAM Packet with invalid ack,Generic Protocol Command Decode,3,TCP,192.168.45.2,8006,10.0.2.2,39692
